NUMBER_OF_OBSERVATIONS,OBSERVATION_TIME_FRACTION,TIME_DELTA,TOTAL_POINTS,SAMPLING_METHOD,LAYER_RATIOS,INPUT_RANGE,HIDDEN_DIMENSION,NUMBER_OF_EPOCHS,LEARNING_RATE,PHYSICS_WEIGHT,STEPSIZE,NUMBER_OF_ITERATIONS,TEMPERATURE,X_TOLERANCE,F_TOLERANCE,MAX_NFEV,A_PERT,ECC_PERT,INC_PERT,RAAN_PERT,ARGPER_PERT,ANOM_PERT,POS_RMSE,POS_RMSE_NLLS,VEL_RMSE,VEL_RMSE_NLLS,FILE_USED,SAVED_AS
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,52.5875391077449,52.5875391077449,0.00713259064668178,0.00713259064668178,NA,2BD_GEO_GROUND_SGD_run_8.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,126.857890878183,126.857890878183,0.0143125816092926,0.0143125816092926,NA,2BD_GEO_GROUND_SGD_run_1.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,90.8768735182161,90.8768735182161,0.0128749242000683,0.0128749242000683,NA,2BD_GEO_GROUND_SGD_run_5.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,75.87254802358,75.87254802358,0.00874615900907579,0.00874615900907579,NA,2BD_GEO_GROUND_SGD_run_9.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,104.976767876549,104.976767876549,0.0123988905914642,0.0123988905914642,NA,2BD_GEO_GROUND_SGD_run_2.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,78.861934829107,78.861934829107,0.00903631301662232,0.00903631301662232,NA,2BD_GEO_GROUND_SGD_run_6.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,104.219881849757,104.219881849757,0.0133150290889412,0.0133150290889412,NA,2BD_GEO_GROUND_SGD_run_3.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,100,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,106.015692766204,106.015692766204,0.0122243593102462,0.0122243593102462,NA,2BD_GEO_GROUND_SGD_run_7.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,144.746391815861,144.746391815861,0.0156273524494103,0.0156273524494103,NA,2BD_GEO_GROUND_SGD_run_0.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,416.665499419354,416.665499419354,0.0448029104643681,0.0448029104643681,NA,2BD_GEO_GROUND_SGD_run_4.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,65.6661521353586,65.6661521353586,0.00736681155486344,0.00736681155486344,NA,2BD_GEO_GROUND_SGD_run_8.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,262.988977142935,262.988977142935,0.0284629325813967,0.0284629325813967,NA,2BD_GEO_GROUND_SGD_run_1.csv
260,0.5,1e-10 d,300,uniform,"[(0.0, 0.0001), (0.0001, 0.9999), (0.9999, 1.0)]","(-1, 1)",20,100000,0.01,1000,1,50,1,1E-15,1E-15,100,0,0,0,0,0,0,68.2640979025093,68.2640979025093,0.00761487805075999,0.00761487805075999,NA,2BD_GEO_GROUND_SGD_run_5.csv
